"actor","gender"
"wong4 jyun2 gwan1","female"
"黃婉君","female"
"黄婉君","female"
"Roxy DeVille","female"
"Runa Akasaka","female"
"Ryouta Murai","male"
"Ryuya Wakaba","male"
"Ryūya Wakaba (竜也 若葉)","male"
"Sakurako Kaoru","female"
"Ai Kanade","female"
"Sasha Grey","female"
"Shawna Leneé","female"
"Stoya","female"
"Tamao Nakamura","female"
"Terence Siufay","male"
"chui zhi yong","male"
"xu zhi yong","male"
"Tyson Cane","male"
"Valentina Rendón","female"
"Van Fan","male"
"Fàn Yìchén","male"
"范逸臣","male"
"Wang Zi","male"
"Wang Zi/Prince","male"
"Wáng Zǐ","male"
"王子","male"
"William So","male"
"sou1 wing5 hong1","male"
"su1 yong3 kang1","male"
"苏永康","male"
"蘇永康","male"
"Xiao Xun","female"
"Albee Huang","female"
"Huang Jing Yi","female"
"黃瀞怡","female"
"黄瀞怡","female"
"Yasuko Matsuyuki","female"
"Yoshikatsu Fujiki","male"
"Yoyo Chen","female"
"陳自瑤","female"
"can4 zi6 jiu4","female"
"chén zì yáo","female"
"陈自瑶","female"
"Yvette Bova","female"
"Zhang Guoqiang","male"
"Zhang Gaoqiang","male"
"张国强","male"
"張國強","male"
"Bill Amerson","male"
"Clifford Mollison","male"
"Douglas Muir","male"
"Fiona Mollison","female"
"Henry Mollison","male"
"Lewis Gilbert","male"
"Mami Horikoshi","female"
"Suzanne Mizzi","female"
"Adrian Hall","male"
"Alain Claessens","male"
"Alfred Hickman","male"
"Amelia Bayntun","female"
"Angela Morant","female"
"Anne Crawford","female"
"Anthony Ireland","male"
"Arthur Margetson","male"
"Cameron Carr","male"
"Candy Apples","female"
"Cecil Mannering","male"
"Charles Goldner","male"
"Charles Tilson-Chowne","male"
"Cheung Tat-ming","male"
"Zeong1 Daat6 ming4","male"
"Zhāng Dámíng","male"
"张达明","male"
"張達明","male"
"Clement McCallin","male"
"Cui Peng","male"
"崔鹏","male"
"Ceoi1 Paang4","male"
"Cuī Péng","male"
"Cyril McLaglen","male"
"David Michaels","male"
"Derek Gorst","male"
"Dicky Cheung","male"
"Zhāng Wèijiàn","male"
"张卫健","male"
"張衛健","male"
"Eivor Landström","female"
"Eva Funck","female"
"Fernanda Marlowe","female"
"Frederick Pyne","male"
"Frida Hallgren","female"
"Fu Biao","male"
"Fù Biāo","male"
"Gabrielle Hamilton","female"
"Gustaf Molander","male"
"Halina Tam","female"
"譚小環","female"
"Henry Longhurst","male"
"Hiroko Yamashita","female"
"Hjalmar Selander","male"
"Hugh Clark","male"
"Ishia Bennison","female"
"Jacques Dumesnil","male"
"Jacques Gamblin","male"
"Jacques Herlin","male"
"Jacquie Lyn","female"
"James Greene","male"
"Jan Molander","male"
"Jane Sherwin","female"
"Jean-Baptiste Puech","male"
"Jean Coquelin","male"
"Jeanne Mockford","female"
"Jim Gérald","male"
"Jimmy Godden","male"
"Jo-Anne Knowles","female"
"Jo Peignot","male"
"John Deverell","male"
"John Harryson","male"
"Johnny Ngan","male"
"Ngaan4 Gwok3 Leong4","male"
"Yán Guó Liáng","male"
"顏國樑","male"
"颜国梁","male"
"Josh Brown","male"
"Kazue Komiya","female"
"Keith Buckley","male"
"Kiki Sheung","female"
"Shāng Tiān'é","female"
"Soeng1 Tin1 Ngo4","female"
"商天娥","female"
"Krister Classon","male"
"Lemon Hanazawa","female"
"Leon Thau","male"
"Li Chen","male"
"lichen","male"
"李晨","male"
"Liu Yuxin","female"
"Líu Yǔxīn","female"
"刘雨欣","female"
"劉雨欣","female"
"Louis Cheung","male"
"張繼聰","male"
"张继聪","male"
"Lucy Robinson","female"
"Mami Deguchi","female"
"Mark Daly","male"
"Mark Womack","male"
"Matthew Jay Lewis","male"
"May Dugas de Pallandt van Eerde","female"
"Meggie Albanesi","female"
"Moa Arimoto","female"
"Naemi Briese","female"
"Natasha Williams","female"
"Nikki Randall","female"
"Patricia Ford","female"
"Paul Ritter","male"
"Peter Harryson","male"
"Peter Perski","male"
"Robert Dawes","male"
"Rosie Taylor-Ritson","female"
"Sharla Cheung","female"
"Zhāng Mǐn","female"
"Zoeng1 Man5","female"
"张敏","female"
"張敏","female"
"Sharon Byatt","female"
"Song Jia","female"
"宋佳","female"
"Sue Longhurst","female"
"Suzanne Collins","female"
"Tamsin Heatley","female"
"Tomo Saeki","female"
"Tomomi Miyashita","female"
"Walter Hudd","male"
"Yuen Biao","male"
"Jyun4 Biu1","male"
"Yuán Biāo","male"
"元彪","male"
"Yukiji Asaoka","female"
"Zheng Shuang","female"
"Zhèng Shuǎng","female"
"郑爽","female"
"鄭爽","female"
"Åke Claesson","male"
"Fred Emney","male"
"Lara Roxx","female"
"Saburo Ishikura","male"
"Xavier Saint-Macary","male"
"Ao Takahashi","female"
"Asuka Tanii","female"
"Cécile Cassel","female"
"(HollySiz)","female"
"David Westhead","male"
"Eriko Nakamura","female"
"Hiromi Igarashi","female"
"Jun Fukushima","male"
"Katsue Miwa","female"
"Keiko Yokozawa","female"
"Kenji Akabane","male"
"Leilani Leeane","female"
"Lizz Tayler","female"
"Madoka Yonezawa","female"
"Marika Hayashi","female"
"Masayo Hosono","female"
"細野 雅世","female"
"Misa Watanabe","female"
"Misaki Sekiyama","female"
"Nanaho Katsuragi","female"
"Naomi Wakabayashi","female"
"Nozomi Yamamoto","female"
"山本 希望","female"
"Risa Hayamizu","female"
"Saori Ōnishi","female"
"Takashi Aoyagi","male"
"Tamaki Matsumoto","female"
"Yuka Terasaki","female"
"Yū Shimamura","female"
"嶋村 侑","female"
"Bionca","female"
"Cha Katō","male"
"加藤 茶","male"
"Eloy Azorin","male"
"George Kuwa","male"
"Jacklyn Wu","female"
"Ng4 Sin3-lin4","female"
"Wú Qiànlián","female"
"吳倩蓮","female"
"吴倩莲","female"
"James Bonn","male"
"Jessica May","female"
"Joseph Tremain","male"
"Kate More","female"
"Kim Clifford","female"
"Krista Lane","female"
"Lynn LeMay","female"
"Michael Gaunt","male"
"Michael J. Cox","male"
"Mr. Pete","male"
"Nina Roberts","female"
"Pat Myne","male"
"Wilde Oscar","male"
"Anthony Crane","male"
"Barrett Blade","male"
"Beccy Armory","female"
"Ben Warriss","male"
"Brian Cowan","male"
"Bruce Seven","male"
"Calli Cox","female"
"Caroline Woodruff","female"
"Claudia Claire","female"
"Cyndee Summers","female"
"Dale DaBone","male"
"Danny O'Dea","male"
"Dave Hardman","male"
"Ben English","male"
"Derek Hay (stage name: Ben English)","male"
"Dillon Day","male"
"Dolly Golden","female"
"Emily Jewell","female"
"Frankie Chan","male"
"Chén Xūnqí","male"
"can4 fan1 kei4","male"
"陈勋奇","male"
"陳勳奇","male"
"Gregory Monro","male"
"Gwei Lun-Mei","female"
"桂綸鎂","female"
"桂纶镁","female"
"Himesh Patel","male"
"Ingrid Luterkort","female"
"James Gilbey","male"
"Jana Carpenter","female"
"Joseph Chang","male"
"Zhāng Xiàoquán","male"
"張孝全","male"
"Judy Holt","female"
"Julia Joyce","female"
"Karen Ascoe","female"
"Laurence Howarth","male"
"Law Wing-cheung","male"
"Law Wing-Cheong","male"
"Lo4 Wing5 Cheung1","male"
"Luó2 Yǒng3 Chāng1","male"
"罗永昌","male"
"羅永昌","male"
"Lila Leslie","female"
"Marc Barrow","male"
"Melanie Walters","female"
"Meredith MacNeill","female"
"Michael Morrison","male"
"Michael Tse","male"
"謝天華","male"
"Xiè Tiánhuá","male"
"ze6 tin1 waa4","male"
"谢天华","male"
"Miki Inoue","female"
"Miyako Itō","female"
"Mysie Monte","female"
"Nana Ozaki","female"
"Pauline Lan","female"
"蓝心湄","female"
"藍心湄","female"
"Pu Cunxin","male"
"Buk6 Cyun4jan1","male"
"Pǔ Cúnxīn","male"
"濮存昕","male"
"Ray Chang","male"
"Bryant Chang","male"
"Zhāng Ruìjiā","male"
"Riria Yoshikawa","female"
"Robert Bullock","male"
"Rodney Diak","male"
"Ron Bottitta","male"
"Steve Hatcher","male"
"Sōjin Kamiyama","male"
"Tina Cheri","female"
"Titof","male"
"Tomohiro Kaku","male"
"郭智博","male"
"Tomoko Naraoka","female"
"Vincenzo Pellegrino","male"
"Vincenzo David Pellegrino","male"
"Yao Wenlong","male"
"Yáo Wénlóng","male"
"姚玟隆","male"
"A.E. Coleby","male"
"Alec Wallis","male"
"Alfred Travers","male"
"Arinze Kene","male"
"Brett Findlay","male"
"Cecil Humphreys","male"
"Chen Zeyu","male"
"Chén Zéyǔ","male"
"陈泽宇","male"
"陳澤宇","male"
"Davina Craig","female"
"Elizabeth Younger","female"
"Ernst Günther","male"
"Frederick Culley","male"
"Fumie Kashiyama","female"
"Hal Gordon","male"
"Helen Goss","female"
"Hilary Pritchard","female"
"Hugh Buckler","male"
"James Lye","male"
"Lài Xìngxiáng","male"
"賴興祥","male"
"赖兴祥","male"
"Judd Green","male"
"Kenneth Kove","male"
"Kingdom Yuen","female"
"苑瓊丹","female"
"Jyun1 king4 daan1","female"
"Yuān Qióngdān","female"
"苑琼丹","female"
"Langhorn Burton","male"
"Lesley Brook","female"
"Louise Hampton","female"
"Mai Tachihara","female"
"Maiko Tōno","female"
"Manning Haynes","male"
"Marc Chapiteau","male"
"Margaret Ashcroft","female"
"Mary Germaine","female"
"May Lo","female"
"lo4 mei2 mei4","female"
"luó měiwéi","female"
"罗美薇","female"
"羅美薇","female"
"Merle Tottenham","female"
"Misayo Haruki","female"
"Philippa Gail","female"
"Russell Cheung","male"
"Cheung Chi Hin","male"
"Zhāng Zhìxuān","male"
"张智轩","male"
"張智軒","male"
"Saori Ono","female"
"Sonia Holm","female"
"Terri Kwan","female"
"Guan Ying","female"
"关颖","female"
"關穎","female"
"Thomas Hellberg","male"
"Björn Thomas Hellberg","male"
"Tyrell Davis","male"
"Tōru Minegishi","male"
"Umewaka Minoru I","male"
"梅若実(初世)","male"
"Viola Compton","female"
"Atsuko Yuya","female"
"Benny Yau","male"
"Jau1 Seoi6hang4","male"
"Qiū Suìhéng","male"
"邱穟恆","male"
"Brandon Iron","male"
"Cherrie Ying","female"
"Yìng Cǎiér","female"
"应采儿","female"
"應采兒","female"
"Don Li","male"
"lei5 jat6 long5","male"
"li3 yi4 lang3","male"
"李逸朗","male"
"Gianna Michaels","female"
"Huang Xiaoming","male"
"Huáng Xiǎomíng","male"
"黃曉明","male"
"黄晓明","male"
"Linda Chung","female"
"鍾嘉欣","female"
"Linda Chung Ka-yan","female"
"Zhōng Jiāxīn","female"
"zung1 gaa1 jan1","female"
"钟嘉欣","female"
"Liu Tao","female"
"Líu Tāo","female"
"刘涛","female"
"劉濤","female"
"Maria McErlane","female"
"Mark Bin Bakar","male"
"Mayumi Shintani","female"
"Rob Rotten","male"
"Saki Nakajima","female"
"Samantha Robson","female"
"Sammul Chan","male"
"Can4 Gin6 Fung1","male"
"Chén Jiànfēng","male"
"陈键锋","male"
"陳鍵鋒","male"
"Sharon Chan","female"
"陳敏之","female"
"Can4 Man4 Zi1","female"
"Chén Mǐnzhī","female"
"陈敏之","female"
"Takanori Hoshino","male"
"Teresa Orlowski","female"
"Tim Hamilton","male"
"Vaniity","female"
"Vicki Richter","female"
"Victoria Paris","female"
"Yoko Kumada","female"
