"King Vidor"
"Leo McCarey"
"Lewis Milestone"
"M. Night Shyamalan"
"Michael Curtiz"
"Mike Nichols"
"Nicolas Roeg"
"Paul Verhoeven"
"Roger Corman"
"Terrence Malick"
"Warren Beatty"
"William Wyler"
"Allen Baron"
"Brian Desmond Hurst"
"Arthur Hiller"
"J. Stuart Blackton"
"James Stuart Blackton"
"James Parrott"
"James Gibbons Parrott"
"Edward Dmytryk"
"Jim Sheridan"
"Marc Evans"
"Shyam Benegal"
"श्याम बेनेगल -شیام بینیگل"
"Todd Solondz"
"Adam Rapp"
"Archie Mayo"
"Eric Schaeffer"
"Irving Cummings"
"Jim O'Connolly"
"José Luis Sáenz de Heredia"
"Mark Steven Johnson"
"Ovidio G. Assonitis"
"Pablo Trapero"
"Ray Nazarro"
"V. V. Vinayak"
"Sherry Hormann"
"Don Chaffey"
"Aleksandr Medvedkin"
"Katt Shea"
"Miguel M. Delgado"
"Olivier Ducastel"
"Emin Alper"
"Ernesto Díaz Espinoza"
"Aashiq Abu"
"Jason Buxton"
"Charles Reisner"
"John Farrow"
"John Ford"
"Pier Paolo Pasolini"
"William Desmond Taylor"
"Alan J. Pakula"
"Carl Urbano"
"Hur Jin-ho"
"Ian Barry"
"Kim Ji-hoon"
"Kim Ji-hun"
"Marc Allégret"
"Mikio Naruse"
"Pantelis Voulgaris"
"Shūe Matsubayashi"
"Takao Okawara"
"George Mendeluk"
"Haro Senft"
"Hans Werckmeister"
"Terry O. Morse"
"Victor Saville"
"Emmett J. Flynn"
"Leesong Hee-il"
"Rasim Ojagov"
"Corrado D'Errico"
"Eugenio de Liguoro"
"Alan Parker"
"Sir Alan Parker"
"Barry Levinson"
"Bruce Beresford"
"Cameron Crowe"
"Darren Aronofsky"
"Ishirō Honda"
"Mamoru Oshii"
"Michael Bay"
"Mike Jittlov"
"Osamu Tezuka"
"Roger Nygard"
"Shinya Tsukamoto"
"Mario Monicelli"
"Alex Winter"
"Anne Wheeler"
"Balu Mahendra"
"Bruce Gowers"
"Jayme Monjardim"
"Joseph Kahn"
"Marco Brambilla"
"Michael Cacoyannis"
"Paul Almond"
"Peter Watkins"
"Tom Shadyac"
"George Stevens"
"Yash Chopra"
"Zacharias Kunuk"
"Norman Jewison"
"Robert Florey"
"Jan Švankmajer"
"Alex Garland"
"Harold Ramis"
"Gregg Araki"
"Jon Favreau"
"Kinji Fukasaku"
"深作 欣二"
"Neil Jordan"
"Nicholas Meyer"
"Tobe Hooper"
"Volker Schlöndorff"
"Mark Raso"
"Brian Hannant"
"Frank Richardson"
"Gordon Hessler"
"Jessie Nelson"
"Marleen Gorris"
"Robin Hardy"
"Takeshi Koike"
"Audrey Wells"
"Brian Yuzna"
"Coline Serreau"
"Ernest B. Schoedsack"
"James Goldstone"
"John Gulager"
"Lew Landers"
"Marshall Neilan"
"Mikael Håfström"
"Pramathesh Barua"
"Prathmesh Barua"
"Scott Derrickson"
"Tom Mankiewicz"
"Zoltan Korda"
"Bernhard Grzimek"
"Boris Sagal"
"John Byrum"
"Manuel Conde"
"Matt Williams"
"Motoyoshi Oda"
"Picha"
"Tamra Davis"
"Todd Field"
"Wisit Sasanatieng"
"Jeremiah S. Chechik"
"Adam Shankman"
"Alexandre Aja"
"Donald Shebib"
"Fred M. Wilcox"
"Jacques Audiard"
"Na Woon-gyu"
"P. Neelakantan"
"Sam Newfield"
"Anders Thomas Jensen"
"Henry Levin"
"Irving Pichel"
"Mark Sandrich"
"Peter Kosminsky"
"Simon West"
"Bobby Roth"
"Greg Mottola"
"Hannan Majid"
"John Carl Buechler"
"Major Ravi"
"Ray Patterson"
"Ti West"
"Tim Whelan"
"Benito Perojo"
"Christy Cabanne"
"Alan Boyd"
"Kit Ryan"
"Udayakantha Warnasuriya"
"Jack Hively"
"Jayabharathi"
"Jaybharathi"
"M. Jeevan"
"George King"
"Andrew Marton"
"Endre Marton"
"Bud Greenspan"
"Edmund Goulding"
"Julian Fellowes"
"The Lord Fellowes of West Stafford"
"Michael Ritchie"
"Nicolas Gessner"
"Raoul Walsh"
"Val Guest"
"Walter Hill"
"Elliot Silverstein"
"Norman Cohn"
"Tony Bancroft"
"Vic Sarin"
"Dana Ranga"
"Christian Schwochow"
"Anil Ravipudi"
"Bernard Bellefroid"
"Marcus Raboy"
"Miloslav Luther"
"Andrew Adamson"
"Ann Hui"
"許鞍華"
"许鞍华"
"Bruno Bozzetto"
"Joseph M. Schenck"
"Philippe de Broca"
"Richard Benjamin"
"Tony Goldwyn"
"Herbert Mason"
"John D. Lamond"
"Ricardo Becher"
"Shawn Ku"
"Viji Thampi"
"Herman Yau"
"Stephen Kijak"
"Clement Virgo"
"Dudley Murphy"
"Julian Richards"
"Stephen Elliott"
"Aki Kaurismäki"
"Emeric Pressburger"
"Kathryn Bigelow"
"Oscar Micheaux"
"Sam Mendes"
"Billy Ray"
"Chashi Nazrul Islam"
"David Kendall"
"George Butler"
"George Schaefer"
"John Lasseter"
"Paul Hoen"
"Raja Chanda"
"Ram Gopal Varma"
"రాం గోపాల్ వర్మ"
"Stephen Herek"
"Stijn Coninx"
"Tony Kaye"
"William C. deMille"
"William C. de Mille"
"Alan Johnson"
"Andrea Di Stefano"
"Augusto Genina"
"Daniel Gordon"
"Debbie Isitt"
"Frank Marshall"
"Gerald Thomas"
"Jack Arnold"
"John Sturges"
"Penny Marshall"
"Peter Yates"
"Samson Samsonov"
"Самсон Самсонов"
"Thulasidas"
"John Hough"
"John Irvin"
"Xavier Gens"
"C. Pullaiah"
"Fletcher Markle"
"Jeffrey Friedman"
"Kazuyuki Izutsu"
"Nelo Risi"
"Noam Murro"
"Pernilla August"
"Vincent McEveety"
"Zeki Demirkubuz"
"Carl Franklin"
"Edgar Kennedy"
"Frank Launder"
"Georg Stanford Brown"
"Jack Hulbert"
"James W. Horne"
"James Wesley Horne"
"Larry Charles"
"Lee Hirsch"
"Leslie Woodhead"
"Lizzy Borden"
"Yasuzo Masumura"
"Yasuzō Masumura"
"Alexander Sokurov"
"Betty Thomas"
"Bryan Singer"
"David DeFalco"
"James Keach"
"James Toback"
"Jerry Paris"
"Kenji Kamiyama"
"Leos Carax"
"Marcos Siega"
"Mike Hodges"
"Ole Bornedal"
"Patty Jenkins"
"Paul Czinner"
"Reginald Barker"
"Robert Hamer"
"Tay Garnett"
"Umberto Lenzi"
"Wang Xiaoshuai"
"Wáng Xiăoshuài"
"王小帅"
"王小帥"
"Géza von Bolváry"
"Michael Grzimek"
"Earl Bellamy"
"Ellen Kuras"
"Gordon Chan"
"陳嘉上"
"Chén Jiāshàng"
"陈嘉上"
"Joaquim Dos Santos"
"Mike Mitchell"
"Sam Jaeger"
"Shaji Kailas"
"Steve De Jarnatt"
"Martin Frič"
"Léonide Moguy"
"Sergei Ursuliak"
"Stephen Milburn Anderson"
"Alfonso Corona Blake"
"Alvin Rakoff"
"Amy J. Berg"
"Jean-Pierre Améris"
"Vikram Kumar"
"Vikram K. Kumar"
"Visu"
"Luis Ortega"
"Dinah Shurey"
"A. Karunakaran"
"Hugo Haas"
"Fred Schepisi"
"Alan Zweig"
"Amat Escalante"
"Amos Guttman"
"Arun Kumar Aravind"
"Arun Kumar"
"David Carson"
"Jag Mundhra"
"Joel Schumacher"
"John Rawlins"
"Kevin Macdonald"
"Amos Poe"
"Monty Banks"
"John Ottman"
"Sara Sugarman"
"Mahesh Manjrekar"
"महेश वामन मांजरेकर"
"Santosh Sivan"
"Uli Edel"
"Tom DiCillo"
"Zhang Yuan"
"Zhāng Yuán"
"张元"
"張元"
"Keyaar"
"Kothanda Ramaiah"
"Sid Bennett"
"James Bridges"
"Dennis Law"
"lo4 sau2 yiu6"
"luo2 shou3 yao4"
"罗守耀"
"羅守耀"
"Gareth Edwards"
"John Whitesell"
"Karen Shakhnazarov"
"Roberto F. Canuto"
"Vibeke Løkkeberg"
"Waris Hussein"
"Andrew Niccol"
"Gregory La Cava"
"Victoria Hochberg"
"Herbert Maisch"
"Max Nosseck"
"Peter Gorski"
"Rolf Schübel"
"Annabel Jankel"
"Anurag Kashyap"
"Charles Jarrott"
"David Caesar"
"Ernie Barbarash"
"Mitch Rouse"
"Peter Clifton"
"Anubhav Sinha"
"Richard York"
"Richard Ernest York"
"Patrick Kong"
"Yip Lim-Sum"
"Yè Niànchēn"
"叶念琛"
"葉念琛"
"Aaron Schneider"
"Vishram Sawant"
"Piero Ballerini"
"George D. Baker"
"George Duane Baker"
"Cristóbal Krusen"
"Cristobal Krusen"
"Ernest Morris"
"P. Madhavan"
"Thavisouk Phrasavath"
"Aditya Sarpotdar"
"Matteo Rovere"
"Kirill Serebrennikov"
"Jamal Hill"
"Robert Milton"
"Alison Peebles"
"Keshu Ramsay"
"Peter Wang"
"Jonas Wolcher"
"Buster Keaton"
"Clint Eastwood"
"Don Siegel"
"Donald Siegel"
"John Huston"
"Otto Preminger"
"Roberto Rossellini"
"Sergio Leone"
"Bruce Malmuth"
"G. P. Sippy"
"John McNaughton"
"Leonel Vieira"
"Roy William Neill"
"Ahmad Abdalla"
"Brad Mays"
"Wong Chun-chun"
"Yorgos Lanthimos"
"Michael Lindsay-Hogg"
"Michael Edward Lindsay-Hogg"
"Carlos Bolado"
"Hans Steinhoff"
"Hella Joof"
"Henry Lehrman"
"Josef Fares"
"Manuel Gómez Pereira"
"Martin Ritt"
"René Féret"
"Ömer Lütfi Akad"
"Tim Burstall"
"Anand Gandhi"
"आनंद गांधी"
"Enrique Urbizu"
"Fred Kelsey"
"Jannik Johansen"
"Kristaq Dhamo"
"Albert Pyun"
"Damion Dietz"
"Franc Roddam"
"Sam Pillsbury"
"Teruyoshi Uchimura"
"Maurice Pialat"
"Norman Panama"
"Johnnie To"
"dou6 kei4 fung1"
"杜琪峯"
"Marco Bechis"
"Paul W. S. Anderson"
"Carmine Gallone"
"Marco Bellocchio"
"Stefano Vanzina"
"Dick Lowry"
"George Jeske"
"Deepak Bahry"
"Glenn Jordan"
"Ning Ying"
"Níng Yíng"
"宁瀛"
"寧瀛"
"Peter A. Dowling"
"Peter MacDonald"
"Jean Beaudin"
"Jon M. Chu"
"Jonathan English"
"Pat Jackson"
"Roy Battersby"
"Steve Carver"
"Willard Carroll"
"Dallas M. Fitzgerald"
"Philip Moeller"
"Wong Ching-po"
"Franklyn Barrett"
"Jonas Pate"
"Diablo Cody"
"Dom DeLuise"
"George Young"
"Juan Carlos Fresnadillo"
"Robert Aldrich"
"Shankar"
"Shane Meadows"
"Claude Chabrol"
"Danny DeVito"
"Jean Renoir"
"Robert Bresson"
"Arin Paul"
"Brad Armstrong"
"Jules Dassin"
"Kim Ki-young"
"Kodi Ramakrishna"
"Kwak Kyung-taek"
"Menahem Golan"
"Robert F. McGowan"
"Shohei Imamura"
"Shōhei Imamura"
"Stuart Gillard"
"Alain Robbe-Grillet"
"Cy Endfield"
"Khaled Youssef"
"Youssef Wahbi"
"Benjamin Stoloff"
"Edward Sedgwick"
"Edwin H. Knopf"
"Francis J. Grandon"
"Jamie Blanks"
"Mikael Salomon"
"Alexandre Rockwell"
"Jonathan Kaplan"
"Julian Gilbey"
"Leonardo Pieraccioni"
"Román Viñoly Barreto"
"Alex Graves"
"Christoffer Boe"
"Gordon Wiles"
"Jeff Lieberman"
"Roman Balayan"
"Stewart Raffill"
"Katerina Cizek"
"Andrei Tarkovsky"
"Chuck Jones"
"George Cukor"
"John Sayles"
"Lars von Trier"
"Leni Riefenstahl"
"Marlon Brando"
"Roman Polanski"
"Charles Crichton"
"Don Letts"
"Donald Crisp"
"John Flynn"
"John Weldon"
"Julie Delpy"
"Mark Rosman"
"Patrice Leconte"
"Nick Grinde"
"Stelvio Massi"
"Ate de Jong"
"Carl Theodor Dreyer"
"George Huang"
"Ken Loach"
"Ken Charles Loach"
"Krzysztof Krauze"
"Phil Karlson"
"Prem"
"Teja"
"Ulrike Ottinger"
"Alexandre Jardin"
"Audrius Stonys"
"Jack Curtis"
"James Cruze"
"Omar Naim"
"Omar Naim II"
"Stuart Gordon"
"Kihachi Okamoto"
"Sławomir Fabicki"
"Antoinette Beumer"
"Basil Dearden"
"Charles Beeson"
"Krsto Papić"
"Ray McCarey"
"Robert Day"
"Silvio Amadio"
"Yōjirō Takita"
"Les Clark"
"Rob Cohen"
"Claude Sautet"
"Corey Yuen"
"元奎"
"Eli Roth"
"Jack Cardiff"
"John A. Davis"
"Manoel de Oliveira"
"Mike Sarne"
"Wesley Ruggles"
"Gerhard Lamprecht"
"Carl Froelich"
"Harald Braun"
"Karl Grune"
"Rudolf Walther-Fein"
"Max Zahle"
"Edward Killy"
"Paco Plaza"
"Anthony LaMolinara"
"John Lemont"
"Salvatore Nocita"
"Anders Walter"
"Lou Lombardo"
"Min Kyu-dong"
"Ramón Menéndez"
"Dunstan Webb"
"James Flood"
"Stephen Carpenter"
"Jeta Amata"
"Mary Agnes Donoghue"
"Mick Davis"
"Jeong Yong-ki"
"Adam Rifkin"
"Aleksei Balabanov"
"Dennis Dugan"
"Fred Williamson"
"Stuart Heisler"
"Maurizio Nichetti"
"Roger Christian"
"Eric Leiser"
"Mahmoud Shoolizadeh"
"Markus Imhoof"
"Albert Magnoli"
"Ari Taub"
"Jason Zada"
"Jay Oliva"
"Ryan Connolly"
"Richard Ayoade"
"Jamie Babbit"
"Charles Brabin"
"Jon Turteltaub"
"Jorge Fons"
"Marcel Varnel"
"Michael Relph"
"Rob Green"
"Victor Schertzinger"
"Victor L. Schertzinger"
"David F. Sandberg"
"David Odell"
"Alexander Hall"
"Jaume Balagueró"
"Max Burnett"
"Boris Barnet"
"Craig R. Baxley"
"Aurelio Grimaldi"
"Frans Weisz"
"Karim Dridi"
"Milton Rosmer"
"Suseenthiran"
"Binu Sasidharan"
"Arthur Penn"
"Dino Risi"
"Hal Roach"
"Puri Jagannadh"
"Tennyson Bardwell"
"Erik Balling"
"Lukas Moodysson"
"Rainer Werner Fassbinder"
"Roscoe Arbuckle"
"Adam Taub"
"Reinout Oerlemans"
"Roger Young"
"Abel Gance"
"Chen Kaige"
"陈凯歌"
"陳凱歌"
"Chén Kǎigē"
"Mike Leigh"
"William Friedkin"
"Alfred E. Green"
"Jeff Broadstreet"
"Joseph Henabery"
"Rolf de Heer"
"Rupert Wainwright"
"Ryuta Tasaki"
"Ryūta Tasaki"
"Tom McLoughlin"
"William K. Howard"
"Aaron Norris"
"Lorraine Senna"
"Dominik Moll"
"Lasse Spang Olsen"
"Henry Cornelius"
"Pratap K. Pothen"
"Prathap K. Pothan"
"Shirō Toyoda"
"Steve Sekely"
"Gilles Mimouni"
"Douglas Aarniokoski"
"Juliano Ribeiro Salgado"
"Richard Glatzer"
"Rudolf Dworsky"
"Floyd Martin Thornton"
"Harold M. Shaw"
"Noel Monkman"
"Auli Mantila"
"Adam Bernstein"
"Alain Cavalier"
"Alexander Korda"
"Chris Columbus"
"John Madden"
"Stefan Jarl"
"Walt Disney"
"Erik Van Looy"
"Ettore Scola"
"John Gilling"
"Kaneto Shindo"
"Kaneto Shindō"
"Larry Kent"
"Marcus Adams"
"Marshall Flaum"
"Minh Nguyen-Vo"
"Shigehiro Ozawa"
"Koreyoshi Kurahara"
"Marshall Curry"
"Jack Raymond"
"Alexander Kluge"
"Antonio Margheriti"
"Atom Egoyan"
"Gaspar Noé"
"Jay Chou"
"周杰伦"
"周杰倫"
"Zhōu Jiélún"
"Michael Hui"
"Heoi2 Gun3man4"
"Xǔ Guànwén"
"許冠文"
"许冠文"
"Peter Brook"
"Rachel Ward"
"Ricky Schroder"
"Shunya Itō"
"Youssef Chahine"
"Andreas Schnaas"
"Edward Burns"
"Gene Deitch"
"Rob Morrow"
"Ryuhei Kitamura"
"Tom Savini"
"William Castle"
"Mervyn LeRoy"
"George Clooney"
"Krzysztof Kieślowski"
"Wes Craven"
"Zhang Yimou"
"张艺谋"
"Joan Rivers"
"John Cassavetes"
"Aaron Katz"
"Charles Walters"
"Denison Clift"
"Gisaburō Sugii"
"Herbert L. Strock"
"Joachim Trier"
"Kim Tae-yong"
"Richard Berry"
"Richard C. Sarafian"
"Richard Friedenberg"
