"writer"
"Sonia Faleiro"
"Stella Reid"
"Stephan Martinière"
"Stephen L. Nelson"
"Stephenie Meyer"
"Steven Savile"
"Stewart Ferris"
"Stuart Cloete"
"Sylvia Day"
"Tahir Shah"
"The Other Change of Hobbit"
"Theresa Tomlinson"
"Thomas Geoghegan"
"Thomas Perry"
"Tim Sanders"
"Tod Goldberg"
"Todd James Pierce"
"Tom Egeland"
"Toni Kelner"
"Toril Moi"
"Trevor Cole"
"Trevor Miller"
"V. Vale"
"Victoria Hislop"
"Bhai Vir Singh"
"Vladimir Vasilyev"
"A. L. Rowse"
"Abai Qunanbaiuli"
"Abai Kunanbaev"
"Abay Qunanbayulı"
"Абай Құнанбаев"
"Абай Құнанбайұлы"
"اباي قۇنانبايۇلى"
"Alan Sillitoe"
"Aleksandër Stavre Drenova"
"Aleksander Stavre Drenova"
"Alfred Wainwright"
"Alfred de Musset"
"Algernon Blackwood"
"Alphonse de Lamartine"
"Amin Maalouf"
"Angus Wilson"
"Sir Angus Wilson"
"Arthur Ransome"
"Augustin Barruel"
"Bernard Le Bovier de Fontenelle"
"Beryl Markham"
"Blaise Cendrars"
"Bruno Fuligni"
"Carol Ann Duffy"
"Dame Carol Ann Duffy"
"Caroline B. Cooney"
"Chiaki J. Konaka"
"Chūya Nakahara"
"Nakahara Chūya"
"Colin Wilson"
"Conrad Aiken"
"Conrad Potter Aiken"
"Dav Pilkey"
"David Henry Hwang"
"David Korten"
"David Wong Louie"
"Dodie Smith"
"Dominique Joseph Garat"
"Dominique-Joseph Garat"
"Doppo Kunikida"
"Kunikida Doppo"
"Dornford Yates"
"Cecil William Mercer"
"Edwin Arlington Robinson"
"Eisuke Yoshiyuki"
"Elizabeth Bishop"
"Erich Kästner"
"Eyvind Johnson"
"Ferdowsi"
"Ferdowsi()"
"Francis Ledwidge"
"François-René de Chateaubriand"
"Gabriel Naudé"
"Gabriela Mistral"
"Geoffrey O'Hara"
"Gottfried Kinkel"
"Johann Gottfried Kinkel"
"Ha Jin"
"哈金"
"Hakushū Kitahara"
"Harper Lee"
"Harry Crosby"
"Henry Dodwell"
"Hermann Sudermann"
"Hidemitsu Tanaka"
"Tanaka Hidemitsu"
"Hiraide Shū"
"Ida Tarbell"
"Ida Minerva Tarbell"
"Ikki Kita"
"Kita Ikki"
"Isaac Babel"
"Isaak Babel"
"Isaac de Benserade"
"Ishibashi Ningetsu"
"Itō Sachio"
"Ivan Bunin"
"Ivan Turgenev"
"J. I. M. Stewart"
"Jacques Antoine Hippolyte, Comte de Guibert"
"Jacques Antoine Hippolyte"
"James Cooke Brown"
"James Dickey"
"Janet Frame"
"Jean Chapelain"
"Jean Genet"
"Jean Lorrain"
"Joaquin Miller"
"John Christopher"
"John Dickson Carr"
"John Mortimer"
"Sir John Mortimer"
"(CBEQC)"
"John Norman"
"Judith Martin"
"Julien Josephson"
"Jūkichi Yagi"
"Kaita Murayama"
"Kan Kikuchi"
"Kanoko Okamoto"
"Okamoto Kanoko"
"Kenji Miyazawa"
"Kōbō Abe"
"Louise Labé"
"Lucian"
"Margaret Drabble"
"Marianne Moore"
"Mary Stewart"
"Marya Zaturenska"
"Maxwell Bodenheim"
"Michel Houellebecq"
"Miekichi Suzuki"
"Mika Waltari"
"Miyatake Gaikotsu"
"Mokutaro Kinoshita"
"Mokutaro Kinoshita or Masao Ota"
"Mollie Hardwick"
"Motojirō Kajii"
"梶井 基次郎"
"Mushitaro Oguri"
"Nadine Gordimer"
"Nankichi Niimi"
"Natalie Clifford Barney"
"Natsume Sōseki"
"On Watanabe"
"Osamu Dazai"
"Ozaki Kōyō"
"Ozaki Koyo"
"尾崎 紅葉"
"Paul C. Doherty"
"Paul C Doherty"
"Paul Jordan-Smith"
"Peig Sayers"
"Pierre Boulle"
"Pierre de Ronsard"
"Raymond Fraser"
"Rebecca West"
"Dame Rebecca West"
"Richard Ford"
"Richard Scarry"
"Robert G. Ingersoll"
"Robert Green Ingersoll"
"Robert W. Chambers"
"Robert William Chambers"
"Ryūnosuke Akutagawa"
"芥川 龍之介"
"Sadakazu Fujii"
"Shelton Brooks"
"Shimaki Kensaku"
"Shinkichi Hashimoto"
"Shizu Shiraki"
"Shūsei Tokuda"
"Sosen Mishima"
"Sue Townsend"
"Takashi Nagatsuka"
"Taylor Caldwell"
"Theodor Nöldeke"
"Thomas Love Peacock"
"Thomas Warton"
"Thomas Wolfe"
"Théodore Simon Jouffroy"
"Tony Harrison"
"Tracy Kidder"
"Tristan Corbière"
"Tsugi Takano"
"Tsunashima Ryōsen"
"Tsuyoshi Makino"
"Usui Kojima"
"Willa Cather"
"William Gaddis"
"Yoshiki Hayama"
"Yoshinori Shimizu"
"Yumeno Kyūsaku"
"Ziya Gökalp"
"Émile Augier"
"Barbara Park"
"Edward J. Mason"
"Frank Yerby"
"Peter Gay"
"Robert Newton Peck"
"Roland Dorgelès"
"Tracy Tormé"
"Abraham Cahan"
"Ai"
"Al Alvarez"
"Alejandrina Benítez de Gautier"
"Alexander Fadeyev"
"Alexander Alexandrovich Fadeyev"
"André Schiffrin"
"Attila József"
"Barry N. Malzberg"
"Bernhard Severin Ingemann"
"Chinghiz Aitmatov"
"Christopher Fry"
"Clive King"
"D. T. Suzuki"
"Dave Morris"
"David John Morris"
"Ding Ling"
"丁玲"
"E. Phillips Oppenheim"
"Eve Bunting"
"Frank Belknap Long"
"Franz Kemper"
"Grantland Rice"
"Helen Fielding"
"Henry Vollam Morton"
"Hjalmar Söderberg"
"James Szalapski"
"Jan Hendrik Wolkers"
"Jan Wolkers"
"José Gautier Benítez"
"José Lezama Lima"
"Julie Gregory"
"Karen Armstrong"
"Kim Stafford"
"James Leslie Mitchell"
"Lewis Grassic Gibbon"
"Liam O'Flaherty"
"Lola Rodríguez de Tió"
"Louis Leo Snyder"
"Manning O'Brine"
"Manuel José Quintana"
"Mary J. Ruwart"
"Mary Ruwart"
"Michael Gilbert"
"Michael Francis Gilbert"
"Oliver Onions"
"George Oliver Onions"
"Palmer Cox"
"Philip Purser-Hallard"
"Philip Wylie"
"Pierre Louÿs"
"Saigyō"
"Saigyō Hōshi (西行 法師)"
"Siobhan Creaton"
"Stanley Schmidt"
"Stanley Albert Schmidt"
"Stephan G. Stephansson"
"Takao Suzuki"
"Vātsyāyana"
"William Henry Drummond"
"Yury Olesha"
"A. R. Gurney"
"Albert Ramsdell Gurney, Jr."
"Aidan Higgins"
"Albert Soboul"
"Amir Butler"
"Antoine Ó Raifteiri"
"Barry MacSweeney"
"Carlo Emilio Gadda"
"David X. Cohen"
"Diego de Torres Vargas"
"Dinah Craik"
"Edmund John"
"Edward Theodore Newell"
"Elisabeth Elliot"
"Ephraim Chambers"
"Erich Loest"
"Ernest Poole"
"Florbela Espanca"
"Francis Berry"
"Francisco Ayerra de Santa María"
"Gene Brewer"
"George Etherege"
"Sir George Etherege"
"George Steiner"
"Harry Crews"
"Harry Eugene Crews"
"Helen Dunmore"
"Hereward Thimbleby Price"
"Hugh B. Cave"
"Ian McFarlane"
"James Norman Hall"
"James Whitcomb Riley"
"Jim Harrison"
"Jim Harrison (Writer)"
"Jörg Fauser"
"Konstantin Staniukovich"
"L. T. C. Rolt"
"Tom Rolt"
"Lyall Watson"
"Lyall {Malcolm} Watson"
"Mags L Halliday"
"Magtymguly Pyragy"
"Malcolm Gladwell"
"Margaret Cole"
"Dame Margaret Cole"
"Margaret Deland"
"Margot Ruddock"
"Maria McCann"
"Martin Walser"
"Maurice Lindsay"
"Max Boot"
"Meary James Thurairajah Tambimuttu"
"Michael Arlen"
"Paul Elmer More"
"Paul Rebhan"
"Per Daniel Amadeus Atterbom"
"Piaras Feiritéar"
"Rabbe Enckell"
"Randolph Healy"
"Richard J. Maybury"
"Robin Jarvis"
"Roger Peyrefitte"
"Ronni Ancona"
"Régis Debray"
"Simon Carmiggelt"
"Simon Gray"
"Stefan Tsanev"
"Susanna Moore"
"Sydney Box"
"Frank Sydney Box"
"Tanya Huff"
"Thomas Brussig"
"Tony Pastor"
"Violet Trefusis"
"Virgilio Dávila"
"Wilfred Rowland Childe"
"William Arthur Dunkerley"
"William Vaughn Moody"
"Yehuda Amichai"
"Manuel Ancízar"
"P. C. Hodgell"
"Alan Noel Latimer Munby"
"André Brink"
"Arthur Cushman McGiffert"
"B. Traven"
"Bayard Taylor"
"Chang-Rae Lee"
"Chang-rae Lee"
"Eduardo Pondal"
"Edward Dutton Cook"
"Edwin O'Connor"
"Ernst Christian Wilhelm Ackermann"
"Eugen Barbu"
"Frances Yates"
"Frances Amelia Yates"
"Francis George Fowler"
"Hans Ackermann"
"Heinz G. Konsalik"
"Henri Joseph Du Laurens"
"Hushang Ebtehaj"
"Ion Creangă"
"Ion Torcălău"
"Ioan Ștefănescu"
"Nică al lui Ștefan a Petrei"
"Jack Miles"
"James Bramston"
"John Francis Campbell"
"John Kendrick Bangs"
"John Lawrence Daly"
"Leo Yankevich"
"Li-Young Lee"
"Lynda Suzanne Robinson"
"Marjorie Garber"
"Mark Kurlansky"
"Marnie Woodrow"
"Montague Summers"
"Nicholas Fisk"
"Olivia Manning"
"Pat Frank"
"Paul Leppin"
"Philip O'Connor"
"Pramoedya Ananta Toer"
"Richard Bannatyne"
"Rick Moody"
"Robert Aickman"
"Robert Montgomery Bird"
"Roland Mathias"
"Ronald Gow"
"S. R. Crockett"
"Samuel Rutherford Crockett"
"Samuel Egerton Brydges"
"Sir Samuel Brydges, Bt"
"Sheila Fischman"
"W. W. Jacobs"
"Wang Dulu"
"Werner Bergengruen"
"Carl Amery"
"Chris Meledandri"
"Clarissa Minnie Thompson Allen"
"Colette Audry"
"Gen Urobuchi"
"Hamza Hakimzade Niyazi"
"Kang Kyŏng-ae"
"Kang Gyeong-ae"
"Kim Chi-Ha"
"Kim Jiha"
"Kim Iryeop"
"Kim Il-yeop"
"Miguel Torga"
"Parveen Shakir"
"Parveen Shakir (poet)"
"Srinibash Udgata"
"Srinivas Udgata"
"Zenta Mauriņa"
"Agustin Cueva"
"Alain Absire"
"Anbara Salam Khalidi"
"Anbara Salam Khalidy"
"Bilal Abdallah Alayli"
"Bilal Abdullah Alaily"
"Boghos Yousefian"
"Cahit Zarifoğlu"
"Catherine Amy Dawson Scott"
"George Jeske"
"Joan Mary Gale Robinson"
"Joan Gale Robinson"
"Lasha Bugadze"
"ლაშა ბუღაძე"
"Majid Adibzadeh"
"Martina Iñíguez"
"Shawn Wong"
"Shawn Hsu Wong"
"Stanley Pranin"
"Veronica Roth"
"Wendy West"
"Yahya Kemal Beyatlı"
"Şükrü Altın"
"Antonio Neumane"
"Don Shaw"
"Nina Wilcox Putnam"
"Richard Schayer"
"Finn Carling"
"Brice Parain"
"Egbert"
"Egbert von Lüttich"
"Giorgio de Santillana"
"Magnus Gottfried Lichtwer"
"Miroslav Marcovich"
"Zehra Çırak"
"Adam Niswander"
"Fabio Casadei Turroni"
"Mike Chinn"
"Phil Sharp"
"Romeo Tanaka"
"Rusty Shoop"
"Vera Stanley Alder"
"A.B.C. Whipple"
"A.B.C. ""Cal"" Whipple"
"A.B. Purani"
"A. B. Purani"
"A. Dakshinamurthy"
"Dakshinamurthy Ayyasamy"
"Abraham Brumberg"
"Adam Aitken"
"Adam Hollanek"
"Adam Selzer"
"Adavi Baapiraju"
"Adeline Knapp"
"Adeline E. Knapp"
"Akira Kuroda"
"Al Dempsey"
"Amanda Ripley"
"Andrew Beck"
"Andrea Beck"
"Andrea Kalin"
"Andrea White"
"Andrew J McKiernan"
"Ann Biderman"
"Ann Elder"
"Ann Pasternak Slater"
"Anne Flett-Giordano"
"Anne Roiphe"
"Anne Wilkinson"
"Antonia Logue"
"Antonis Fostieris"
"Andonis Fostieris"
"Art Spander"
"Arthur Alphin"
"Arthur ""Art"" Alphin"
"Arthur Leo Zagat"
"Ataol Behramoğlu"
"Avril Coleridge-Taylor"
"Gwendolyn Avril Coleridge-Taylor"
"Balakrishna Bhagwant Borkar"
"Balakrishna Bhagawant Borkar"
"Barry Fanaro"
"Barry Levy"
"Barry Michael Harman"
"Bartol Brinkler"
"Bill Swan"
"Bob Ellison"
"Bob Ong"
"Bob Weiskopf"
"Boey Kim Cheng"
"Bogomir Magajna"
"thumb"
"Brian Andreas"
"Burt Styler"
"Caroline Franz"
"Chip Silverman"
"Howard ""Chip"" Silverman"
"Christina Vella"
"Christoforos Liontakis"
"Christopher Myers"
"Christopher Snyder"
"Christos Chomenidis"
"Chuck Ranberg"
"Clara Beranger"
"Clara S. Beranger"
"Clifton Snider"
"Constance Aston Fowler"
"Cork Graham"
"César Dávila Andrade"
"Dasaradhi"
"Daasarathi Krishnamacharyulu"
"Dan Matovina"
"Dani Romain"
"Daniel Nester"
"Danilo Lokar"
"David Binder"
"David Finkel"
"David L. Kirp"
"David Levien"
"Denise Affonço"
"Diana Chang"
"Diane Messina Stanley"
"Donna Franceschild"
"E. Lloyd Sheldon"
"Edgar Calabia Samar"
"Edith Derby Williams"
"Edward Irenaeus Prime-Stevenson"
"Elizabeth Buchan"
"Elizabeth Mary Oakleigh-Walker Buchan"
"Elizabeth Spires"
"Elizabeth Watkins"
"Enid Shomer"
"Eugene Mullin"
"Eugene N. Borza"
"Evaristo Ribera Chevremont"
"Everett B. Cole"
"Everett Bush Cole"
"Ferdomnach"
"Ferial Haffajee"
"Florian Zeller"
"France Balantič"
"Fred Myton"
"Frederick Hazlitt Brennan"
"Frédéric de Courcy"
"Gabriel de Foigny"
"Gabrielle Stanton"
"Gail Gibbons"
"Gangadhar V. Chittal"
"Gangadhar Vithoba Chittal"
"Gary Dontzig"
"Gary Graff"
"George Ancona"
"George Balzer"
"(George Balzer)"
"George Demeter"
"George Yanok"
"Giani Stuparich"
"Gilles Grelet"
"Giuseppe Tontodonati"
"Gordon Rigby"
"Greg Kramer"
"Greggory Nations"
"Gus Ferguson"
"H. Chandler Elliott"
"Haki Stërmilli"
"Hal Goldman"
"Han Nolan"
"Heather Ross Miller"
"Hikaru Okuizumi"
"Howard Sturgis"
"Iollan Mac an Leagha"
"Ivan Timofeevich Kokorev"
"Jacob Lassner"
"James Burr"
"James Gilligan"
"James R. Stein"
"Janice Cowan"
"Jean-Baptiste Dureau de la Malle"
"Jean Beleth"
"Jean Rikhoff"
"Jeffrey J. Byrd"
"Jenna Blum"
"Jenna Miscavige Hill"
"Jenny Mastoraki"
"Jeremy Doner"
"Jeremy Pikser"
"Jim Rusk"
"Jim Shepard"
"Joan Juliet Buck"
"John Ellis Williams"
"John Gittings"
"John Spencer"
"John Hillaby"
"John Howlett"
"John Menzies Macfarlane"
"John Orloff"
"John Putnam Demos"
"Josipina Turnograjska"
"Juris Māters"
"Józef Ondrusz"
"K-Ske Hasegawa"
"Karan Mahajan"
"Karen Essex"
"Karen Lynn Williams"
"Katherine Ayres"
"Kay Cornelius"
"Kemal Tahir"
"Ken Estin"
"Kenjiro Haitani"
"Kentarō Katayama"
"Kiki Dimoula"
"Κική Δημουλά"
"Kottayam Pushpanath"
"Krishna Sobti"
"कृष्णा सोबती"
"Kriss Turner"
"L. S. Kandasamy"
"L S Kandasamy"
"Lee Kalcheim"
"Leela Floyd"
"Leela Floyd (nee Charles)"
"Lefteris Poulios"
"Leo Butler"
"Leslie Ryan"
"Lillie Hayward"
"Lotte Motz"
"Lulu Delacre"
"Lynda Durrant"
"Léon Laya"
"Lưu Trọng Lư"
"Luu Trong Lu"
"Madeleine St John"
"Malvin Wald"
"Marc-Gilbert Sauvajon"
"Marc Edward Heuck"
"Margaret Larkin"
"Margarita Karapanou"
"Marguerite Steen"
"Maria Laina"
"Marian Hannah Winter"
"Mark Nowak"
"Mark Teague"
"Maro Douka"
"Martha Reeves"
"Martin Ragaway"
"Mary Downing Hahn"
"Mary Freeman Byrne"
"Mary Hood"
"Master Patrick of Ireland"
"Melville Baker"
"Michael R. Collings"
"Michael Varhol"
"Michalis Fakinos"
"Michel Dobry"
"Mike Masnick"
"Mikhail Yemtsev"
"Mikhail Tikhonovich Yemtsev"
"Mira Mihelič"
"Mithileshwar"
"Monica Sone"
"Monica Sone (so-nay)"
"Monique Proulx"
"Sir Mordaunt Currie, 5th Baronet"
"Mort Nathan"
"Murō Saisei"
"Nancy Pickard"
"Nguyễn Đình Chiểu"
"阮廷沼"
"Nguyen Dinh Chieu"
"Nicholas Wootton"
"Nicholasa Mohr"
"Nine Moati"
"Noriko Ito"
"Odd F. Lindberg"
"Oscar Yanes"
"Otto Funk"
"Pamela Duncan Edwards"
"Panos Koutrouboussis"
"Peter B. Germano"
"Peter Sollett"
"Petrus de Ibernia"
"Philip Alexander Bruce"
"Philip Johann Bleibtreu"
"Pippin Parker"
"Priscilla Shirer"
"Pío Moa"
"Randall Faye"
"Raphael Honigstein"
"Rebati Mohan Dutta Choudhury"
"Ricardo Ernesto Montes i Bradley"
"R-E Montes i Bradley"
"Rich Cohen"
"Richard Klinkhamer"
"Richard Michelson"
"Rob Pearlstein"
"Robert Chappell"
"Robert J. Avrech"
"Robert Macklin"
"Robert N. Lee"
"Robert P. Arthur"
"Robert Spencer Carr"
"Roberta Fernández"
"Roberto G. Fernández"
"Robie Macauley"
"Robin Llywelyn"
"Robin Wayne Bailey"
"Rod Warren"
"Ron Arias"
"Ronald Alan Waldron"
"Ronald Lawruk"
"Russ Flanagan"
"Russell J. Flanagan"
"Ruth Isabel Seabury"
"Ruth Paley"
"S. Brent Morris"
"S. R. Ekkundi"
"Sally Hobart Alexander"
"Sally Nicholls"
"Sam Campbell"
"Sam Denoff"
"Sam Perrin"
"Samuel L. M. Barlow"
"Scott Monk"
"Seán ""Clárach"" Mac Domhnaill"
"Seán Clárach Mac Domhnaill"
"Shell Danielson"
"Shena Mackay"
"Shuichi Yoshida"
"Shūichi Yoshida"
"Simon of Ireland"
"Sotiris Trivizas"
"Stanley Kurtz"
"Stefanos Tassopoulos"
"Stephen H. Norwood"
"Stephen Mallatratt"
"Steven Peterman"
"Sundar V. Nadkarni"
"Sundar Vithal Nadkarni"
"Susan Clymer"
"Suzette Doctolero"
"Sydney Pokorny"
"Taisha Abelar"
"Tara Stevens"
"Ted Walker"
"Terry Kay"
"Thomas Floyd"
"Thomas Shapiro"
"Thomas M. Shapiro"
"Tim Lebbon"
"Tommy Tabermann"
"Tracy Price-Thompson"
"Treva Silverman"
"Umera Ahmad"
"Vassilis Steriadis"
"Venmani Achhan Nambudiripad"
"Venmani Mahan Nambudiripad"
"Venmani Vishnu Nambudiripad"
"Viola Canales"
"Virgil Suárez"
"Virginia Spencer Carr"
"W. A. Harbinson"
"W. Roy MacKenzie"
"Wayne Laugesen"
"File:thumb|Gazette Editorial Page Editor Wayne Laugesen defending First Amendment on Fox News"
"Will Inman"
"William Gray Beyer"
"William Missouri Downs"
"William of Drogheada"
"Winston Miller"
"Younghill Kang"
"Zelda La Grange"
"Zelda la Grange"
"Zyranna Zateli"
"Ζυράννα Ζατέλη"
"Alyson Noël"
"Emma Andijewska"
"Емма Андієвська"
"Fabio Barcellandi"
"Fernand Dumont"
"Hiromi Itō"
"伊藤 比呂美"
"Merethe Lindstrøm"
"Tsering Wangmo Dhompa"
"Étienne La Font de Saint-Yenne"
"André Chamson"
"Eleanor Perenyi"
"Gennady Gorelik"
"John Furia, Jr."
"John Furia"
"Julie Gilbert"
"Lindy Kelly"
"Margaret Strickland"
"Michele Foscarini"
"Paddy Richardson"
"A. Samad Said"
"Abdussalam Puthige"
"Abdussalam Puthige (A.S. Puthige)"
"Agnes Ravatn"
"Aisha Muharrar"
"Akin Düzakin"
"Al Robles"
"Alejandro Rozitchner"
"Ales Prudnikau"
"Алесь Пруднікаў"
"Alex Gray"
"Alison Baird"
"Alun Williams"
"Andrea Ashworth"
"Andrea Seigel"
"Andreas Hagen"
"Andrew Revkin"
"Andrew C. Revkin"
"Anthony Anaxagorou"
"Antonio Porta"
"Atle Kittang"
"B. M. Idinabba"
"Bernard Knox"
"Bhabananda Deka"
"Bhadant Anand Kausalyan"
"Dr. Bhadant Anand Kausalyayan"
"भदंत आनंद कौसल्यायन"
"Blaize Clement"
"Blake Bailey"
"Brajanath Sarma"
"Brenda Shaughnessy"
"Carlos Noriega Hope"
"Carlos Wiggen"
"Carolly Erickson"
"Cate Kendall"
"Catherine Davis"
"Chilakamarti Lakshmi Narasimham"
"Chris Armold"
"Christopher Frey"
"Clare Cavendish"
"Claude-François-Alexandre Houtteville"
"Claude Boyer"
"Title page of The Death of Demetrius"
"frameless|center|Page de garde de La Mort de Démétrius"
"Claude Jeancolas"
"Claude Sallier"
"Constance Fecher Heaven"
"Constance Heaven"
"Constant Tonegaru"
"Constant (Constantin) Tonegaru"
"David Rowley"
"David Wroblewski"
"Deborah Digges"
"Deborah Howe"
"Del Staecker"
"Diane Pearson"
"Diane Margaret Pearson McClelland"
"Dorothy Mackie Low"
"Lois Dorothea Pilkington Low"
"Edward Kessler"
"Eigil Gullvåg"
"Eilif Straume"
"Elamkulam Kunjan Pillai"
"Elizabeth Eiloart"
"Ellen Arnstad"
"Elsie B. Washington"
"Elsie Bernice Washington"
"Erik Vullum"
"Ernest P. Young"
"Espen Stueland"
"Florence Earle Coates"
"Francis Charmes"
"Frank Marcus"
"Frank X Walker"
"Father François Brune"
"Gabor Fabricius"
"Gábor Fabricius"
"Geoffrey Perret"
"George Harmon Coxe"
"George Lichtheim"
"Gerald Warner Brace"
"Graham Howells"
"Greg Dawes"
"Gregor Grant"
"Gregor J. Grant"
"Gregory Victor Babic"
"Guillaume Massieu"
"Guillaume de Saint-André"
"Gulielmus Peregrinus"
"Gun Arvidssen"
"Gunabhiram Barua"
"Gunnar Christie Wasberg"
"Hamo Sahyan"
"Համո Սահյան"
"Hannah Tinti"
"Hans Holten"
"Harindra Dave"
"Harold Alfred Manhood"
"Himanish Goswami"
"Hitomi Takagaki"
"Holly Hartman"
"Hotel on the Corner of Bitter and Sweet"
"Hugh Dempsey"
"Ilko Dimitrov"
"Jackie Huggins"
"Jacques Marquet de Montbreton de Norvins"
"James Munange Ogoola"
"Jamini Bhushan Ray"
"Jan Christopher Næss"
"Jean Bedford"
"Jo Marchant"
"Joan de Hamel"
"Joanna Denny"
"Joanna Pruess"
"John Kemp"
"John Arthur Kemp"
"John Harvey Gahan"
"John V. Robinson"
"John Wellington Ennis"
"Jon M. Gibson"
"230px|At Universal's ""Scott Pilgrim's Super Fun Party,"" produced by Gibson's i am 8-bit Productions."
"Jorge Galvan"
"Jorge García Usta"
"Judy Toll"
"Julia Fox"
"June Thomson"
"Karen Newman"
"Katina Papa"
"Kellow Chesney"
"Kenwrick Taylor"
"Kristen Øyen"
"Kåre Bulie"
"Laxmi Narayan Mishra"
"Lazer Lederhendler"
"Leslie Dunkling"
"Leslie Alan Dunkling"
"Louie Mar Gangcuangco"
"Louie Mar Gangcuangco, MD"
"Lucinda Rosenfeld"
"Luke Wright"
"Lyman Andrews"
"M. Stanton Evans"
"Marian Thurm"
"Marie-Laure Ryan"
"Marie Anne Doublet"
"Marko Kravos"
"Martha Mason"
"María Luisa Garza"
"Matthew Hays"
"Melvin Helitzer"
"Mercedes Odina"
"Meira Odina"
"Michael David Kwan"
"Michael J. Arlen"
"Michel Paul Guy de Chabanon"
"Michelle Hamer"
"Mike Vincent"
"Mirza Athar Baig"
"Mirza Ather Baig"
"Mărgărita Miller-Verghy"
"Mărgărita (Margareta) Miller-Verghy"
"N. P. Mohammed"
"Norm Hiscock"
"Norrey Ford"
"Noreen Ford Dilcock"
"Odd Hølaas"
"Olav Nordrå"
"Olivia Gentile"
"Orlando Mejía Rivera"
"Patrick Richardson"
"Pattathuvila Karunakaran"
"Paul Lorck Eidem"
"Pavel Prudnikau"
"Peter John Allan"
"Pierre Schaeffer"
"Po Kya"
"Punaloor Balan"
"Pål Bang-Hansen"
"Rachel Shabi"
"Rachel Wetzsteon"
"Rafiuddin Raz"
"Rafiuddin 'Raz'"
"Raymond Grew"
"Reine Philiberte de Varicourt"
"Richard B. Cook"
"Rita Kelly"
"Robert Liparulo"
"Robert Lopez"
"Roderic H. Davison"
"Rohana Kudus"
"Roy MacGregor-Hastie"
"Sailen Ghosh"
"Sam Millar"
"Sasha Alyson"
"Scévole de Sainte-Marthe"
"Sean A. Moore"
"Shamil Alyautdinov"
"Shelley Sweeney"
"Sonia Holleyman"
"Speros Vryonis"
"Stella March"
"Marjorie Bell Marshall"
"Stephen Burt"
"Steven Lewis Simpson"
"June Sylvia Thimblethorpe"
"Sylvia Thorpe"
"T. Walter Wallbank"
"Thomas Budzynski"
"Thomas H. Budzynski"
"Thomas Leighton Decker"
"Thor Bjarne Bore"
"Tilly Armstrong"
"Timothy Foote"
"Tom Lotherington"
"Torild Wardenær"
"Torquato Accetto"
"Valentin Krasnogorov"
"Vanessa Woods"
"Vivibear"
"Weiwei Zhang"
"Walter Schneir"
"Wendy Perron"
"Wheeler Antabanez"
"Wilfred Whitten"
"Zach Nelson"
"Andrew Colville"
"Christoph Christian Sturm"
"Esi Edugyan"
"Heinz A. Richter"
"Sakae Kubo"
"Allan Eugene Updegraff"
"Anton Gill"
"Ardian Klosi"
"Benjamin Akzin"
"בנימין אקצין"
"Chad Harbach"
"Charlotte Gill"
"Chris Scott"
"Tiberium Alliances"
"Command & Conquer:"
"David Watt Ballantyne"
"David Callaham"
"Diana Hartog"
"Don Dickinson"
"Donald S. Sanford"
"Edith Summers Kelley"
"Emil Benčík"
"Esther Raab"
"Esther de Cáceres"
"Eun Heekyung"
"Eun Hee-kyung"
"Eva Stachniak"
"Ewa Stachniak"
"Felicjan Medard Faleński"
"Felicjan Faleński"
"Francis Ryck"
"Frank De Felitta"
"Fuminori Nakamura"
"Gabriel Celaya"
"Gary Buslik"
"Giovanni Barrella"
"Giuseppe Dessì"
"Gurjinder Basran"
"Hōmei Iwano"
"Jaime Montestrela"
"Jean-Pierre Desthuilliers"
"Joseph Rosenblatt"
"Joe Rosenblatt"
"Junpei Gomikawa"
"Kalin Terziyski"
"Kate De Goldi"
"Kazuo Okamatsu"
"Kim Leine"
"Luiz Ruffato"
"Maggi Lidchi-Grassi"
"Marcel Bouteron"
"Marie Hermanson"
"Matthias Nawrat"
"Michael J. Roads"
"Na Hye-sok"
"Rha Hye-seok"
"Naum Veqilharxhi"
"Noriko Ibaragi"
"Omair Ahmad"
"Park Wan Suh"
"Park Wan-suh"
"Petru Dumitriu"
"Ryoko Sekiguchi"
"Stephen Murray-Smith"
"Sue Dwiggins"
"Suzanne Baker"
"Tendai Huchu"
"Tomas Espedal"
"Tomislav Volek"
"Kaneko Tōta"
"Valter hugo mãe"
"valter hugo mãe"
"Victoire de Donnissan de La Rochejaquelein"
"Xu Zechen"
"徐则臣"
"Zechen Xu"
"Aadhavan"
"Aadhavan Sundaram"
"Ahmad Bashir"
"احمد بشیر"
"Alan Sheridan"
"Alberto Acereda"
"Alix Lambert"
"Anders Horn"
"Andrew Apter"
"Andrew Weinberg"
"Andrey Dikiy"
"Andrey Diky"
"Anne Marriott"
"Anwaar Ahmad"
"Archibald Marshall"
"Arthur Guirdham"
"Arunabh Sarkar"
"Arve Solstad"
"Asif Currimbhoy"
"Syed Asim Mahmood"
"Aslaug Låstad Lygre"
"Azhagiya Periyavan"
"Beb Vuyk"
"Bedhab Banarasi"
"K.D. Prasad Gaur"
"Benny Lim"
"Beverley Randell"
"Bidia Dandaron"
"Bidia Dandarovich Dandaron"
"Bob Mader"
"Bonnie Mark"
"Carmelina Soto"
"Catherine Corley Anderson"
"Celeste Katz"
"Cheikh Tidiane Gaye"
"Chelangatt Gopalakrishnan"
"Cho Se-hui"
"Choi In-ho"
"Choi Inho"
"Christopher House"
"Claire Zulkey"
"Clarence Hawkes"
"Cláir Ní Aonghusa"
"Cláír Ní Aonghusa"
