"writer"
"Alexander Moszkowski"
"Alexander Radishchev"
"Alfred Machin"
"Alison Littlewood"
"Allie Bates"
"Alois Jirásek"
"Alok Mehta"
"Amado Nervo"
"Andrea Cagan"
"Andreas Mand"
"Andrew Duncan"
"Andrew Motion"
"Sir Andrew Motion"
"Andrew Williams"
"Andy Greenwald"
"Angus McGill Mowat"
"B.A.,M.A."
"Anil Dash"
"Anita Desai"
"Anna Margolin"
"Anne Mackenzie"
"Ann Mackenzie"
"Anne Szumigalski"
"Anthony Ackroyd"
"Anthony R. Michaelis"
"Anton Koolhaas"
"Antonio Fogazzaro"
"Antonio Gamoneda"
"Antonio S. Pedreira"
"Antonio Tabucchi"
"Aram Saroyan"
"Aravind Enrique Adyanthaya"
"Archibald Henderson"
"Arianna Huffington"
"Ashes to Ashes"
"August Becker"
"Bibi Baskin"
"Bob Carroll"
"Brian Hill"
"Brian McNaughton"
"Bryan Bergeron"
"Camilo Castelo Branco"
"Camilo Ferreira Botelho Castelo-Branco"
"Camilo José Vergara"
"Carl Joachim Hambro"
"Caroline Finkel"
"Catriona Sparks"
"Catriona (Cat) Sparks"
"Celeste Ng"
"Charles Black"
"Charles Frazier"
"Charles Kenneth Scott Moncrieff"
"Charles Nicholl"
"Charles Perry"
"Charles Shaw"
"Chris Browne"
"Chris Heffelfinger"
"Chris Zook"
"John McCabe"
"Christopher Kelly"
"Christopher Lloyd"
"Christopher Lloyd (world history author)"
"Christopher McDougall"
"Christopher Middleton"
"Christopher Nolan"
"Christopher Scheer"
"Clarisse Bader"
"Claude Roy"
"Colin McNaughton"
"Colm Byrne"
"Colm Tóibín"
"Colson Whitehead"
"Consuelo Hernández"
"Dan McDougall"
"Daniel Genis"
"Daniel Keys Moran"
"Daniel Smith"
"Dave Eggers"
"David Berman"
"David B. Berman"
"David Freeman"
"David Garrow"
"David Gewirtz"
"David Hare"
"Sir David Hare"
"David King"
"David Kirkpatrick"
"David Louis Edelman"
"David Peppercorn"
"David Pritchard"
"David B. Pritchard"
"David Shapiro"
"David Sirota"
"De Villiers Graaff"
"Sir De Villiers Graaff, Bt"
"Dean Young"
"Deb Margolin"
"Deborah Alcock"
"Dennis Smith"
"Don Nicholl"
"Donald Margulies"
"Dorothy Dunnett"
"Dorothy Edith Simons"
"Douglas Kennedy"
"Douglas Sladen"
"Ebru Umar"
"Edgar Dugdale"
"Eduardo Galeano"
"Edward Cocker"
"Edward Evans"
"Edward Jablonski"
"Elizabeth Berg"
"Ellen Fein"
"Emily Colson"
"Felicitas Hoppe"
"Flora Fraser"
"Francesco Sansovino"
"Frank Johnson Goodnow"
"Frank Johnson Goodnow Ph.D., LL.B."
"Frank McGuinness"
"Franklin B. Zimmerman"
"Frederick Walter Gascoyne Miller"
"Fred Stenson"
"Frederick Charles Fripp"
"Charlie Fripp"
"Freeman Wills Crofts"
"Frédéric Mistral"
"G. A. Henty"
"George Alfred Henty"
"Garry Wills"
"Gary Sunshine"
"Gavan Daws"
"Gavin Maxwell"
"Gaëtan Picon"
"Georg Brandes"
"George Douglas Brown"
"George Elliott"
"George Mills"
"George Morgan"
"George Parker Winship"
"George Wilson"
"Gianna Manzini"
"Govinda Raj Bhattarai"
"Greg Dean Schmitz"
"Gregory Poirier"
"Guy Pearse"
"Gwyneth Lewis"
"Gwyneth Rees"
"H. C. Engelbrecht"
"Hans H. Skei"
"Harish Bhadani"
"Harish Chandra Mitra"
"Harish Iyer"
"Helen Augur"
"Helene Christaller"
"Henri Michaux"
"Henrik Krohn"
"Henry James"
"Hideo Levy"
"Hideo Nagata"
"Hideo Yoshino"
"Hilary Corke"
"Howard Browne"
"Hugh Sebag-Montefiore"
"Humberto López y Guerra"
"Humberto López y Guerra (H.L. Guerra)"
"Humphrey Trevelyan, Baron Trevelyan"
"Igor Guberman"
"Igor Mironovich Guberman"
"Ilse-Margret Vogel"
"Ilse Aichinger"
"Isabelle Sandy"
"Isabelle de Charrière"
